Assembly_Accession,tax_id,Species,Kingdom,Phylum,Class,FTP_path
GCF_003351405.1,726,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/405/GCF_003351405.1_ASM335140v1
GCF_000012185.1,281310,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/185/GCF_000012185.1_ASM1218v1
GCF_000016465.1,374930,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/465/GCF_000016465.1_ASM1646v1
GCF_000016485.1,374931,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/485/GCF_000016485.1_ASM1648v1
GCF_000027305.1,71421,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1
GCF_000165525.1,262728,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/525/GCF_000165525.1_ASM16552v1
GCF_000165575.1,262727,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/575/GCF_000165575.1_ASM16557v1
GCF_000197875.1,866630,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/197/875/GCF_000197875.1_ASM19787v1
GCF_000200475.1,935897,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/200/475/GCF_000200475.1_ASM20047v1
GCF_000210875.1,862964,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/875/GCF_000210875.1_ASM21087v1
GCF_000465255.1,1334187,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/465/255/GCF_000465255.1_ASM46525v1
GCF_000698365.1,1295140,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/365/GCF_000698365.1_ASM69836v1
GCF_000767075.1,727,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/075/GCF_000767075.1_ASM76707v1
GCF_000968335.1,1232659,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/335/GCF_000968335.1_ASM96833v1
GCF_008586745.1,725,Haemophilus influenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/586/745/GCF_008586745.1_ASM858674v1
GCF_003864155.1,728,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/864/155/GCF_003864155.1_ASM386415v1
GCF_000210895.1,862965,Haemophilus parainfluenzae,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/895/GCF_000210895.1_ASM21089v1
GCF_003390455.1,729,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/390/455/GCF_003390455.1_ASM339045v1
GCF_000007945.1,233412,[Haemophilus] ducreyi,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/945/GCF_000007945.1_ASM794v1
GCF_001647655.1,730,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/655/GCF_001647655.1_ASM164765v1
GCF_000011785.1,205914,Histophilus somni,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/785/GCF_000011785.1_ASM1178v1
GCF_000019405.1,228400,Histophilus somni,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/405/GCF_000019405.1_ASM1940v1
GCF_002162175.1,731,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/162/175/GCF_002162175.1_ASM216217v1
GCF_000022985.1,634176,Aggregatibacter aphrophilus,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/985/GCF_000022985.1_ASM2298v1
GCF_001262035.1,732,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/262/035/GCF_001262035.1_ASM126203v1
GCF_900636915.1,985008,Aggregatibacter aphrophilus,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/915/GCF_900636915.1_45532_F02
GCF_008330025.1,735,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/330/025/GCF_008330025.1_ASM833002v1
GCF_000021885.1,557723,Glaesserella parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/885/GCF_000021885.1_ASM2188v1
GCF_000740985.1,738,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/985/GCF_000740985.1_ASM74098v1
GCF_002777395.1,1275971,Glaesserella parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/777/395/GCF_002777395.1_ASM277739v1
GCF_002777455.1,1117322,Glaesserella parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/777/455/GCF_002777455.1_ASM277745v1
GCF_003286935.1,456298,Glaesserella parasuis,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/935/GCF_003286935.1_ASM328693v1
GCF_900476035.1,888057,Aggregatibacter segnis,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/035/GCF_900476035.1_53694_C01
GCF_000006825.1,272843,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/825/GCF_000006825.1_ASM682v1
GCF_000234745.1,1075089,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/745/GCF_000234745.1_ASM23474v1
GCF_000255915.1,1132496,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/915/GCF_000255915.1_ASM25591v1
GCF_000259545.1,584721,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/545/GCF_000259545.1_ASM25954v1
GCF_000512395.1,1147130,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/395/GCF_000512395.1_ASM51239v1
GCF_000754275.1,747,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1
GCF_000973525.1,1304873,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/525/GCF_000973525.1_ASM97352v1
GCF_000973565.1,1304890,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/565/GCF_000973565.1_ASM97356v1
GCF_001578435.2,1455592,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/435/GCF_001578435.2_ASM157843v2
GCF_001663095.1,1339255,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/095/GCF_001663095.1_ASM166309v1
GCF_001956795.1,1436299,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/795/GCF_001956795.1_ASM195679v1
GCF_002059225.1,44283,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/059/225/GCF_002059225.1_ASM205922v1
GCF_002068175.1,115545,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/068/175/GCF_002068175.1_ASM206817v1
GCF_900636625.1,123812,Pasteurella multocida,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/625/GCF_900636625.1_43295_B02
GCF_900637275.1,749,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/275/GCF_900637275.1_50465_C02
GCF_000209675.1,1005058,Gallibacterium anatis,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/675/GCF_000209675.1_ASM20967v1
GCF_900186835.1,754,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/186/835/GCF_900186835.1_49950_F01
GCF_900637805.1,758,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/805/GCF_900637805.1_52592_E01
GCF_900635775.1,762,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/775/GCF_900635775.1_33763_C01
GCF_000024505.1,574556,Anaplasma centrale,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/505/GCF_000024505.1_ASM2450v1
GCF_000011945.1,234826,Anaplasma marginale,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/945/GCF_000011945.1_ASM1194v1
GCF_000020305.1,320483,Anaplasma marginale,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/305/GCF_000020305.1_ASM2030v1
GCF_000015445.1,360095,Bartonella bacilliformis,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1
GCF_001559035.2,774,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/035/GCF_001559035.2_ASM155903v2
GCF_000007765.2,227377,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/765/GCF_000007765.2_ASM776v2
GCF_000017105.1,434922,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/105/GCF_000017105.1_ASM1710v1
GCF_000018745.1,360115,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/745/GCF_000018745.1_ASM1874v1
GCF_000019865.1,434923,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/865/GCF_000019865.1_ASM1986v1
GCF_000019885.1,434924,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/885/GCF_000019885.1_ASM1988v1
GCF_000168875.3,360116,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/875/GCF_000168875.3_ASM16887v3
GCF_000367725.2,1293501,Coxiella burnetii,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/367/725/GCF_000367725.2_Z3055
GCF_001572745.1,777,,Bacteria,Proteobacteria,Gammaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/572/745/GCF_001572745.1_ASM157274v1
GCF_000026005.1,254945,Ehrlichia ruminantium,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/005/GCF_000026005.1_ASM2600v1
GCF_000050405.1,302409,Ehrlichia ruminantium,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/050/405/GCF_000050405.1_ASM5040v1
GCF_000007025.1,272944,Rickettsia conorii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1
GCF_000022785.1,449216,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/785/GCF_000022785.1_ASM2278v1
GCF_000195735.1,272947,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/735/GCF_000195735.1_ASM19573v1
GCF_000277165.1,1105094,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/165/GCF_000277165.1_ASM27716v1
GCF_000277185.1,1105095,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/185/GCF_000277185.1_ASM27718v1
GCF_000277205.1,1105096,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/205/GCF_000277205.1_ASM27720v1
GCF_000277245.1,1105098,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/245/GCF_000277245.1_ASM27724v1
GCF_000277265.1,1105099,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/265/GCF_000277265.1_ASM27726v1
GCF_000363905.1,1290427,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/363/905/GCF_000363905.1_ASM36390v1
GCF_000367405.1,1290428,Rickettsia prowazekii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/367/405/GCF_000367405.1_ASM36740v1
GCF_001602215.1,782,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/602/215/GCF_001602215.1_ASM160221v1
GCF_000017445.4,452659,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/445/GCF_000017445.4_ASM1744v3
GCF_000018225.1,392021,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/225/GCF_000018225.1_ASM1822v1
GCF_000283775.1,1105102,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/775/GCF_000283775.1_ASM28377v1
GCF_000283795.1,1105105,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/795/GCF_000283795.1_ASM28379v1
GCF_000283815.1,1105100,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/815/GCF_000283815.1_ASM28381v1
GCF_000283935.1,1105101,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/935/GCF_000283935.1_ASM28393v1
GCF_000283955.1,1105104,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/955/GCF_000283955.1_ASM28395v1
GCF_000831525.1,1338411,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/525/GCF_000831525.1_ASM83152v1
GCF_000831545.1,1337396,Rickettsia rickettsii,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/545/GCF_000831545.1_ASM83154v1
GCF_001950995.1,783,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/950/995/GCF_001950995.1_ASM195099v1
GCF_000010205.1,334380,Orientia tsutsugamushi,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/205/GCF_000010205.1_ASM1020v1
GCF_000063545.1,357244,Orientia tsutsugamushi,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/545/GCF_000063545.1_ASM6354v1
GCF_008693345.1,784,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/345/GCF_008693345.1_ASM869334v1
GCF_900327245.1,1359184,Orientia tsutsugamushi,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/327/245/GCF_900327245.1_Gilliam
GCF_000008045.1,257363,Rickettsia typhi,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/045/GCF_000008045.1_ASM804v1
GCF_000277285.1,1003201,Rickettsia typhi,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/285/GCF_000277285.1_ASM27728v1
GCF_000277305.1,1003202,Rickettsia typhi,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/305/GCF_000277305.1_ASM27730v1
GCF_900536895.1,785,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/536/895/GCF_900536895.1_TM2540
GCF_000018205.1,293614,Rickettsia akari,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/205/GCF_000018205.1_ASM1820v1
GCF_000284155.1,1105110,Rickettsia australis,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/155/GCF_000284155.1_ASM28415v1
GCF_000014345.1,293613,Rickettsia canadensis,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/345/GCF_000014345.1_ASM1434v1
GCF_000283915.1,1105107,Rickettsia canadensis,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/915/GCF_000283915.1_ASM28391v1
GCF_000046685.1,283165,Bartonella quintana,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/685/GCF_000046685.1_ASM4668v1
GCF_000294715.1,1225179,Bartonella quintana,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/715/GCF_000294715.1_ASM29471v1
GCF_009936175.1,803,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/936/175/GCF_009936175.1_ASM993617v1
GCF_900638615.1,807,,Bacteria,Proteobacteria,Alphaproteobacteria,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/615/GCF_900638615.1_58174_F01
GCF_000008725.1,272561,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1
GCF_000012125.1,315277,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/125/GCF_000012125.1_ASM1212v1
GCF_000026905.1,672161,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/905/GCF_000026905.1_ASM2690v1
GCF_000026925.1,580049,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/925/GCF_000026925.1_ASM2692v1
GCF_000068525.2,471473,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/068/525/GCF_000068525.2_ASM6852v2
GCF_000068585.1,471472,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/068/585/GCF_000068585.1_ASM6858v1
GCF_000092485.1,759363,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/485/GCF_000092485.1_ASM9248v1
GCF_000092665.1,707184,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/665/GCF_000092665.1_ASM9266v1
GCF_000092685.1,707185,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/685/GCF_000092685.1_ASM9268v1
GCF_000092705.1,707186,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/705/GCF_000092705.1_ASM9270v1
GCF_000092725.1,707187,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/725/GCF_000092725.1_ASM9272v1
GCF_000092745.1,707183,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/745/GCF_000092745.1_ASM9274v1
GCF_000092805.1,718219,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/805/GCF_000092805.1_ASM9280v1
GCF_000093005.1,759364,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/005/GCF_000093005.1_ASM9300v1
GCF_000210495.1,634464,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/495/GCF_000210495.1_ASM21049v1
GCF_000220105.1,887712,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/105/GCF_000220105.1_ASM22010v1
GCF_000226605.1,580047,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/605/GCF_000226605.1_ASM22660v1
GCF_000304495.1,1071759,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/495/GCF_000304495.1_Cm_ESW3
GCF_000304515.1,1071762,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/515/GCF_000304515.1_Cm_FSW4
GCF_000304535.1,1071763,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/535/GCF_000304535.1_Cm_FSW5
GCF_000318525.1,1071753,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/525/GCF_000318525.1_ASM31852v2
GCF_000318565.1,1071755,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/565/GCF_000318565.1_ASM31856v1
GCF_000318645.1,596777,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/645/GCF_000318645.1_ASM31864v1
GCF_000318765.1,1071766,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/765/GCF_000318765.1_ASM31876v1
GCF_000318785.1,1071767,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/785/GCF_000318785.1_ASM31878v1
GCF_000318825.1,1071769,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/825/GCF_000318825.1_ASM31882v1
GCF_000318845.1,1071770,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/845/GCF_000318845.1_ASM31884v1
GCF_000318865.1,1071771,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/865/GCF_000318865.1_ASM31886v1
GCF_000318885.1,1071772,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/885/GCF_000318885.1_ASM31888v1
GCF_000318905.1,1071773,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/905/GCF_000318905.1_ASM31890v1
