Accession,tax_id,Species,Kingdom,Phylum,Class,Length,Description
NZ_CP013028.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,74656,"Escherichia coli strain 2012C-4227 plasmid unnamed1, complete sequence"
NZ_CP007673.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,25054,"Staphylococcus aureus strain CA12 plasmid pCA12, complete sequence"
NZ_CP012956.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,47457,"Acinetobacter baumannii strain D36 plasmid pD36-4 clone GC1, complete sequence"
NZ_CP012955.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,9276,"Acinetobacter baumannii strain D36 plasmid pD36-3 clone GC1, complete sequence"
NZ_CP012954.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,6078,"Acinetobacter baumannii strain D36 plasmid pRAY* (pD36-2) clone GC1, complete sequence"
NZ_CP012953.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,4754,"Acinetobacter baumannii strain D36 plasmid pD36-1 clone GC1, complete sequence"
NZ_CP012910.1,92945,Ketogulonicigenium vulgare,Bacteria,Proteobacteria,Alphaproteobacteria,242716,"Ketogulonicigenium vulgare strain Hbe602 plasmid 2, complete sequence"
NZ_CP012909.1,92945,Ketogulonicigenium vulgare,Bacteria,Proteobacteria,Alphaproteobacteria,267988,"Ketogulonicigenium vulgare strain Hbe602 plasmid 1, complete sequence"
NZ_CP007679.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,33093,"Staphylococcus aureus strain HUV05 plasmid pHUV05-03, complete sequence"
NZ_CP007678.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,20291,"Staphylococcus aureus strain HUV05 plasmid pHUV05-02, complete sequence"
NZ_CP007677.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,20185,"Staphylococcus aureus strain HUV05 plasmid pHUV05-01, complete sequence"
NZ_CP013010.1,1352,Enterococcus faecium,Bacteria,Firmicutes,Bacilli,66496,"Enterococcus faecium strain UW7606x64/3 TC1 plasmid pWCF-TC1, complete sequence"
NZ_CP012906.1,210,Helicobacter pylori,Bacteria,Proteobacteria,Epsilonproteobacteria,6835,"Helicobacter pylori strain 7C plasmid unnamed, complete sequence"
NZ_CP014006.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,46161,"Klebsiella pneumoniae subsp. pneumoniae strain NUHL24835 plasmid unnamed2, complete sequence"
NZ_CP014005.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,101030,"Klebsiella pneumoniae subsp. pneumoniae strain NUHL24835 plasmid unnamed1, complete sequence"
NZ_CP013925.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,52517,"Acinetobacter baumannii strain KBN10P02143 plasmid pKBN10P02143, complete sequence"
NZ_CP013942.1,413503,Cronobacter malonaticus,Bacteria,Proteobacteria,Gammaproteobacteria,52622,"Cronobacter malonaticus LMG 23826 plasmid pCMA2, complete sequence"
NZ_CP013941.1,413503,Cronobacter malonaticus,Bacteria,Proteobacteria,Gammaproteobacteria,126500,"Cronobacter malonaticus LMG 23826 plasmid pCMA1, complete sequence"
NZ_CP007257.1,1833,Rhodococcus erythropolis,Bacteria,Actinobacteria,Actinobacteria,477915,"Rhodococcus erythropolis R138 plasmid pLRE138, complete sequence"
NZ_CP007256.1,1833,Rhodococcus erythropolis,Bacteria,Actinobacteria,Actinobacteria,91729,"Rhodococcus erythropolis R138 plasmid pCRE138, complete sequence"
NZ_CP013740.1,1908,Streptomyces globisporus,Bacteria,Actinobacteria,Actinobacteria,7234,"Streptomyces globisporus C-1027 plasmid pSGL1, complete sequence"
NZ_CP013739.1,1908,Streptomyces globisporus,Bacteria,Actinobacteria,Actinobacteria,167754,"Streptomyces globisporus C-1027 plasmid SGLP1, complete sequence"
NZ_CP013744.1,1725411,Streptomyces sp. CdTB01,Bacteria,Actinobacteria,Actinobacteria,288836,"Streptomyces sp. CdTB01 plasmid unnamed, complete sequence"
NZ_CP013725.1,1639,Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,86616,"Listeria monocytogenes strain Lm N1546 plasmid pLmN1546, complete sequence"
NZ_CP012032.1,174,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,59545,"Leptospira borgpetersenii serovar Ballum strain 56604 plasmid lbp2, complete sequence"
NZ_CP012031.1,174,Leptospira borgpetersenii,Bacteria,Spirochaetes,Spirochaetia,65435,"Leptospira borgpetersenii serovar Ballum strain 56604 plasmid lbp1, complete sequence"
NZ_CP007658.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,43396,"Staphylococcus aureus strain V2200 plasmid pV2200, complete sequence"
NZ_CP007214.1,41899,Burkholderia plantarii,Bacteria,Proteobacteria,Betaproteobacteria,197362,"Burkholderia plantarii strain ATCC 43733 plasmid bpln_1p, complete sequence"
NZ_CP012705.1,33050,Sphingopyxis macrogoltabida,Bacteria,Proteobacteria,Alphaproteobacteria,19860,"Sphingopyxis macrogoltabida strain EY-1 isolate activated sludge plasmid 5, complete sequence"
NZ_CP012704.1,33050,Sphingopyxis macrogoltabida,Bacteria,Proteobacteria,Alphaproteobacteria,30496,"Sphingopyxis macrogoltabida strain EY-1 isolate activated sludge plasmid 4, complete sequence"
NZ_CP012703.1,33050,Sphingopyxis macrogoltabida,Bacteria,Proteobacteria,Alphaproteobacteria,34474,"Sphingopyxis macrogoltabida strain EY-1 isolate activated sludge plasmid 3, complete sequence"
NZ_CP012702.1,33050,Sphingopyxis macrogoltabida,Bacteria,Proteobacteria,Alphaproteobacteria,58892,"Sphingopyxis macrogoltabida strain EY-1 isolate activated sludge plasmid 2, complete sequence"
NZ_CP012701.1,33050,Sphingopyxis macrogoltabida,Bacteria,Proteobacteria,Alphaproteobacteria,196952,"Sphingopyxis macrogoltabida strain EY-1 isolate activated sludge plasmid 1, complete sequence"
NZ_CP010404.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,2473,"Staphylococcus aureus subsp. aureus strain GR2 plasmid pGR2B, complete sequence"
NZ_CP010403.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,28895,"Staphylococcus aureus subsp. aureus strain GR2 plasmid pGR2A, complete sequence"
NZ_CP009255.1,9,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,3048,"Buchnera aphidicola (Aphis glycines) strain BAg plasmid pTrp clone SA-pTrp, complete sequence"
NZ_CP009254.1,9,Buchnera aphidicola,Bacteria,Proteobacteria,Gammaproteobacteria,7639,"Buchnera aphidicola (Aphis glycines) strain BAg plasmid pLeu clone SA-pLeu, complete sequence"
NZ_CP010891.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,27273,"Staphylococcus aureus strain SA564 plasmid pSA564, complete sequence"
NZ_CP012632.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,93074,"Escherichia coli strain SF-173 plasmid pSF-173-1, complete sequence"
NZ_CP012592.1,669502,Candidatus Profftella armatura,Bacteria,Proteobacteria,Betaproteobacteria,5458,"Candidatus Profftella armatura strain YCPA plasmid unnamed, complete sequence"
NZ_CP011523.1,1649184,Streptomyces sp. CFMR 7,Bacteria,Actinobacteria,Actinobacteria,99537,"Streptomyces sp. CFMR 7 strain CFMR-7 plasmid unnamed, complete sequence"
NZ_CP009453.1,292913,Sphingopyxis sp. 113P3,Bacteria,Proteobacteria,Alphaproteobacteria,243437,"Sphingopyxis sp. 113P3 plasmid unnamed, complete sequence"
NZ_CP012256.1,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,53383,"Cronobacter sakazakii strain NCTC 8155 plasmid pCS3, complete sequence"
NZ_CP012255.1,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,117795,"Cronobacter sakazakii strain NCTC 8155 plasmid pCS2, complete sequence"
NZ_CP012254.1,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,110093,"Cronobacter sakazakii strain NCTC 8155 plasmid pCS1, complete sequence"
NZ_CP012267.1,413497,Cronobacter dublinensis,Bacteria,Proteobacteria,Gammaproteobacteria,197338,"Cronobacter dublinensis subsp. dublinensis LMG 23823 plasmid pCDU1, complete sequence"
NZ_CP012265.1,1163710,Cronobacter condimenti,Bacteria,Proteobacteria,Gammaproteobacteria,151491,"Cronobacter condimenti 1330 strain LMG 26250 plasmid pCCO1, complete sequence"
NZ_CP012258.1,535744,Cronobacter universalis,Bacteria,Proteobacteria,Gammaproteobacteria,129777,"Cronobacter universalis NCTC 9529 plasmid pCUNV1, complete sequence"
NZ_CP012425.1,47834,Spiroplasma kunkelii,Bacteria,Tenericutes,Mollicutes,7576,"Spiroplasma kunkelii CR2-3x plasmid pSKU76, complete sequence"
NZ_CP012424.1,47834,Spiroplasma kunkelii,Bacteria,Tenericutes,Mollicutes,20501,"Spiroplasma kunkelii CR2-3x plasmid pSKU205, complete sequence"
NZ_CP012423.1,47834,Spiroplasma kunkelii,Bacteria,Tenericutes,Mollicutes,22558,"Spiroplasma kunkelii CR2-3x plasmid pSKU226, complete sequence"
NZ_CP012169.1,158836,Enterobacter hormaechei,Bacteria,Proteobacteria,Gammaproteobacteria,210894,"Enterobacter hormaechei subsp. steigerwaltii strain 34998 plasmid p34998-210.894kb, complete sequence"
NZ_CP012168.1,158836,Enterobacter hormaechei,Bacteria,Proteobacteria,Gammaproteobacteria,239973,"Enterobacter hormaechei subsp. steigerwaltii strain 34998 plasmid p34998-239.973kb, complete sequence"
NZ_CP010383.2,158836,Enterobacter hormaechei,Bacteria,Proteobacteria,Gammaproteobacteria,106410,"Enterobacter hormaechei subsp. steigerwaltii strain 34998 plasmid p34998-106.409kb, complete sequence"
NZ_CP012348.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,86650,"Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120 plasmid pCFSAN000725_01, complete sequence"
NZ_CP012383.1,1889,Streptomyces ambofaciens,Bacteria,Actinobacteria,Actinobacteria,89658,"Streptomyces ambofaciens ATCC 23877 plasmid pSAM1, complete sequence"
NZ_CP011973.1,317,Pseudomonas syringae,Bacteria,Proteobacteria,Gammaproteobacteria,74423,"Pseudomonas syringae pv. actinidiae ICMP 18884 plasmid unnamed, complete sequence"
NZ_CP011979.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,20222,"Klebsiella pneumoniae DMC1097 plasmid pDMC1097-20.222kb, complete sequence"
NZ_CP011978.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,77775,"Klebsiella pneumoniae DMC1097 plasmid pDMC1097-77.775kb, complete sequence"
NZ_CP011977.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,218836,"Klebsiella pneumoniae DMC1097 plasmid pDMC1097-218.836kb, complete sequence"
NZ_CP011993.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,13841,"Klebsiella pneumoniae UHKPC33 plasmid pUHKPC33-13.841kb, complete sequence"
NZ_CP011992.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,43380,"Klebsiella pneumoniae UHKPC33 plasmid pUHKPC33-43.380kb, complete sequence"
NZ_CP011991.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,113638,"Klebsiella pneumoniae UHKPC33 plasmid pUHKPC33-113.638kb, complete sequence"
NZ_CP011990.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,162533,"Klebsiella pneumoniae UHKPC33 plasmid pUHKPC33-162.533kb, complete sequence"
NZ_CP010572.1,813,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,7471,"Chlamydia trachomatis strain Ia/CS190/96 plasmid unnamed, complete sequence"
NZ_CP010570.1,813,Chlamydia trachomatis,Bacteria,Chlamydiae,Chlamydiia,7493,"Chlamydia trachomatis strain F/CS847/08 plasmid unnamed, complete sequence"
NZ_CP010112.1,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,314883,"Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-6, complete sequence"
NZ_CP010111.1,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,253580,"Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-5, complete sequence"
NZ_CP010110.1,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,71646,"Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-4, complete sequence"
NZ_CP010109.1,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,71771,"Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-3, complete sequence"
NZ_CP010108.1,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,49838,"Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-2, complete sequence"
NZ_CP010107.1,1428,Bacillus thuringiensis,Bacteria,Firmicutes,Bacilli,7042,"Bacillus thuringiensis serovar indiana strain HD521 plasmid pBTHD521-1, complete sequence"
NZ_CP012161.1,1458307,Octadecabacter temperatus,Bacteria,Proteobacteria,Alphaproteobacteria,31560,"Octadecabacter temperatus strain SB1 plasmid OSB_p1, complete sequence"
NC_016828.2,1245,Leuconostoc mesenteroides,Bacteria,Firmicutes,Bacilli,19293,"Leuconostoc mesenteroides subsp. mesenteroides J18 plasmid pKLE04, complete sequence"
NC_016821.2,1245,Leuconostoc mesenteroides,Bacteria,Firmicutes,Bacilli,24548,"Leuconostoc mesenteroides subsp. mesenteroides J18 plasmid pKLE03, complete sequence"
NC_016820.2,1245,Leuconostoc mesenteroides,Bacteria,Firmicutes,Bacilli,35428,"Leuconostoc mesenteroides subsp. mesenteroides J18 plasmid pKLE02, complete sequence"
NC_016827.2,1245,Leuconostoc mesenteroides,Bacteria,Firmicutes,Bacilli,37252,"Leuconostoc mesenteroides subsp. mesenteroides J18 plasmid pKLE01, complete sequence"
NZ_CP012005.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,148955,"Acinetobacter baumannii strain ATCC 17978-mff plasmid pAB3, complete sequence"
NZ_CP011667.1,465541,Streptomyces sp. Mg1,Bacteria,Actinobacteria,Actinobacteria,183653,"Streptomyces sp. Mg1 plasmid pSMg1-3, complete sequence"
NZ_CP011666.1,465541,Streptomyces sp. Mg1,Bacteria,Actinobacteria,Actinobacteria,134791,"Streptomyces sp. Mg1 plasmid pSMg1-2, complete sequence"
NZ_CP011665.1,465541,Streptomyces sp. Mg1,Bacteria,Actinobacteria,Actinobacteria,529571,"Streptomyces sp. Mg1 plasmid pSMg1-1, complete sequence"
NZ_CP011506.1,60550,Burkholderia pyrrocinia,Bacteria,Proteobacteria,Betaproteobacteria,113484,"Burkholderia pyrrocinia strain DSM 10685 plasmid p2327, complete sequence"
NZ_CP009563.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,80098,"Salmonella enterica subsp. enterica serovar Newport str. CVM 21538 plasmid pCVM21538, complete sequence"
NZ_CP009564.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,120340,"Salmonella enterica subsp. enterica serovar Newport str. CVM 21550 plasmid pCVM21550, complete sequence"
NZ_CP009570.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,118585,"Salmonella enterica subsp. enterica serovar Newport str. CVM N1543 isolate CFSAN000926 plasmid pCVMN1543, complete sequence"
NZ_CP009560.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,158195,"Salmonella enterica subsp. enterica serovar Newport str. CVM 22425 plasmid pCVM22425, complete sequence"
NZ_CP009562.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,120346,"Salmonella enterica subsp. enterica serovar Newport str. CVM 22513 plasmid pCVM22513, complete sequence"
NZ_CP010408.1,362257,Streptomyces vietnamensis,Bacteria,Actinobacteria,Actinobacteria,286635,"Streptomyces vietnamensis strain GIMV4.0001 plasmid pSVL1, complete sequence"
NZ_CP007002.1,196,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,3993,"Campylobacter fetus subsp. venerealis cfvi03/293 plasmid pCfviP3, complete sequence"
NZ_CP007001.1,196,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,35326,"Campylobacter fetus subsp. venerealis cfvi03/293 plasmid pCfviMP2, complete sequence"
NZ_CP007000.1,196,Campylobacter fetus,Bacteria,Proteobacteria,Epsilonproteobacteria,91400,"Campylobacter fetus subsp. venerealis cfvi03/293 plasmid pCfviMP1, complete sequence"
NZ_CP006663.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,117755,"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pCuAs, complete sequence"
NZ_CP006661.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,140825,"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pNDM-US, complete sequence"
NZ_CP006660.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,2014,"Klebsiella pneumoniae strain ATCC BAA-2146 plasmid pMYS, complete sequence"
NZ_CP009276.1,244366,Klebsiella variicola,Bacteria,Proteobacteria,Gammaproteobacteria,54715,"Klebsiella variicola strain DX120E plasmid pKV2, complete sequence"
NZ_CP009275.1,244366,Klebsiella variicola,Bacteria,Proteobacteria,Gammaproteobacteria,162706,"Klebsiella variicola strain DX120E plasmid pKV1, complete sequence"
NZ_CP010382.1,158836,Enterobacter hormaechei,Bacteria,Proteobacteria,Gammaproteobacteria,53129,"Enterobacter hormaechei subsp. steigerwaltii strain 34998 plasmid p34998-53.129kb, complete sequence"
NZ_CP010381.1,158836,Enterobacter hormaechei,Bacteria,Proteobacteria,Gammaproteobacteria,4921,"Enterobacter hormaechei subsp. steigerwaltii strain 34998 plasmid p34998-4.921kb, complete sequence"
NZ_LR594694.1,207745,Variovorax sp. WDL1,Bacteria,Proteobacteria,Betaproteobacteria,20056,Variovorax sp. WDL1 plasmid 6
NZ_LR594693.1,207745,Variovorax sp. WDL1,Bacteria,Proteobacteria,Betaproteobacteria,24964,Variovorax sp. WDL1 plasmid 5
NZ_LR594692.1,207745,Variovorax sp. WDL1,Bacteria,Proteobacteria,Betaproteobacteria,207894,Variovorax sp. WDL1 plasmid 4
NZ_LR594691.1,207745,Variovorax sp. WDL1,Bacteria,Proteobacteria,Betaproteobacteria,565873,Variovorax sp. WDL1 plasmid 3
NZ_LR594690.1,207745,Variovorax sp. WDL1,Bacteria,Proteobacteria,Betaproteobacteria,816468,Variovorax sp. WDL1 plasmid 2
NZ_LR745044.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,61761,Klebsiella pneumoniae isolate Klebsiella pneumoniae kpn154 plasmid pOXA48_Kpn154
NZ_LR745043.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,215306,Klebsiella pneumoniae isolate Klebsiella pneumoniae kpn154 plasmid pVIR_Kpn154
NZ_LR745047.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,100433,Klebsiella pneumoniae isolate Kpn2166 plasmid pCTX-M15_Kpn2166
NZ_LR745046.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,226671,Klebsiella pneumoniae isolate Kpn2166 plasmid pVIR_Kpn2166
NZ_CP047042.1,1063,Rhodobacter sphaeroides,Bacteria,Proteobacteria,Alphaproteobacteria,43515,"Rhodobacter sphaeroides strain 2.4.1 substr. H2 plasmid pDx, complete sequence"
NZ_CP047041.1,1063,Rhodobacter sphaeroides,Bacteria,Proteobacteria,Alphaproteobacteria,105256,"Rhodobacter sphaeroides strain 2.4.1 substr. H2 plasmid pC, complete sequence"
NZ_CP047040.1,1063,Rhodobacter sphaeroides,Bacteria,Proteobacteria,Alphaproteobacteria,114142,"Rhodobacter sphaeroides strain 2.4.1 substr. H2 plasmid pB, complete sequence"
NZ_CP047039.1,1063,Rhodobacter sphaeroides,Bacteria,Proteobacteria,Alphaproteobacteria,124295,"Rhodobacter sphaeroides strain 2.4.1 substr. H2 plasmid pEA, complete sequence"
NZ_CP046906.1,2684468,Streptomyces sp. QHH-9511,Bacteria,Actinobacteria,Actinobacteria,91197,"Streptomyces sp. QHH-9511 plasmid unnamed, complete sequence"
NZ_CP035943.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,1791,"Acinetobacter cumulans strain WCHAc060092 plasmid p8_060092, complete sequence"
NZ_CP035942.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,2123,"Acinetobacter cumulans strain WCHAc060092 plasmid p7_060092, complete sequence"
NZ_CP035941.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,4692,"Acinetobacter cumulans strain WCHAc060092 plasmid p6_060092, complete sequence"
NZ_CP035940.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,8138,"Acinetobacter cumulans strain WCHAc060092 plasmid p5_060092, complete sequence"
NZ_CP035939.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,9699,"Acinetobacter cumulans strain WCHAc060092 plasmid p4_060092, complete sequence"
NZ_CP035938.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,12247,"Acinetobacter cumulans strain WCHAc060092 plasmid p3_060092, complete sequence"
NZ_CP035937.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,18761,"Acinetobacter cumulans strain WCHAc060092 plasmid p2_060092, complete sequence"
NZ_CP035936.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,177151,"Acinetobacter cumulans strain WCHAc060092 plasmid p1_060092, complete sequence"
NZ_CP035935.1,2136182,Acinetobacter cumulans,Bacteria,Proteobacteria,Gammaproteobacteria,48560,"Acinetobacter cumulans strain WCHAc060092 plasmid pNDM1_060092, complete sequence"
NZ_CP032236.1,29486,Yersinia ruckeri,Bacteria,Proteobacteria,Gammaproteobacteria,80843,"Yersinia ruckeri strain NHV_3758 plasmid pYR4, complete sequence"
NZ_CP014607.1,243899,endosymbiont 'TC1' of Trimyema compressum,Bacteria,Firmicutes,,35795,"Endosymbiont 'TC1' of Trimyema compressum plasmid pTC1, complete sequence"
NZ_CP006684.1,33970,Melissococcus plutonius,Bacteria,Firmicutes,Bacilli,177673,"Melissococcus plutonius S1 plasmid pMEPL_178, complete sequence"
NZ_CP013615.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,404393,"Clostridium perfringens strain JP838 plasmid pJFP838A, complete sequence"
NZ_CP013040.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,72750,"Clostridium perfringens strain JP838 plasmid pJFP838C, complete sequence"
NZ_CP013039.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,48597,"Clostridium perfringens strain JP838 plasmid pJFP838D, complete sequence"
NZ_CP013038.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,14657,"Clostridium perfringens strain JP838 plasmid pJFP838E, complete sequence"
NZ_CP013045.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,14060,"Clostridium perfringens strain JP55 plasmid pJFP55K, complete sequence"
NZ_CP013044.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,42209,"Clostridium perfringens strain JP55 plasmid pJFP55J, complete sequence"
NZ_CP013043.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,58447,"Clostridium perfringens strain JP55 plasmid pJFP55H, complete sequence"
NZ_CP013041.1,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,72549,"Clostridium perfringens strain JP55 plasmid pJFP55F, complete sequence"
NZ_CP009595.1,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,312478,"Bacillus cereus strain 3a plasmid pBFC_3, complete sequence"
NZ_CP009594.1,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,51531,"Bacillus cereus strain 3a plasmid pBFC_2, complete sequence"
NZ_CP009593.1,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,7300,"Bacillus cereus strain 3a plasmid pBFC_1, complete sequence"
NZ_CP011933.1,173,Leptospira interrogans,Bacteria,Spirochaetes,Spirochaetia,70055,"Leptospira interrogans serovar Manilae strain UP-MMC-NIID LP plasmid pLIMLP1, complete sequence"
NZ_CP011496.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,67545,"Escherichia coli strain NCM3722 isolate K-12 plasmid F, complete sequence"
NZ_CP010866.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,5812,"Marinovum algicola DG 898 plasmid pMaD11, complete sequence"
NZ_CP010865.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,52512,"Marinovum algicola DG 898 plasmid pMaD10, complete sequence"
NZ_CP010864.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,98626,"Marinovum algicola DG 898 plasmid pMaD9, complete sequence"
NZ_CP010863.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,111292,"Marinovum algicola DG 898 plasmid pMaD8, complete sequence"
NZ_CP010862.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,115171,Marinovum algicola DG 898 plasmid pMaD7
NZ_CP010861.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,126126,"Marinovum algicola DG 898 plasmid pMaD6, complete sequence"
NZ_CP010860.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,143401,"Marinovum algicola DG 898 plasmid pMaD5, complete sequence"
NZ_CP010859.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,187673,"Marinovum algicola DG 898 plasmid pMaD4, complete sequence"
NZ_CP010858.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,189941,Marinovum algicola DG 898 plasmid pMaD3
NZ_CP010857.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,239750,"Marinovum algicola DG 898 plasmid pMaD2, complete sequence"
NZ_CP010856.1,42444,Marinovum algicola,Bacteria,Proteobacteria,Alphaproteobacteria,254955,"Marinovum algicola DG 898 plasmid pMaD1, complete sequence"
NC_021227.2,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,16105,"Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp5, complete sequence"
NC_021234.2,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,37042,"Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp4, complete sequence"
NC_021226.2,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,39468,"Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp3, complete sequence"
NC_021225.2,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,49018,"Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp2, complete sequence"
NC_021233.2,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,45418,"Lactobacillus plantarum subsp. plantarum P-8 plasmid LBPp1, complete sequence"
NZ_CP009688.1,84022,Clostridium aceticum,Bacteria,Firmicutes,Clostridia,5719,"Clostridium aceticum strain DSM 1496 plasmid CACET_5p, complete sequence"
